original order,Case Number.1,Date,Month,Year,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N/U),Species,Injury,Investigator or Source,href
6303.0,2018.06.25,25-Jun-2018,Jun,2018.0,Barco,usa,California,"Oceanside, San Diego County",Paddling,F,57,Não,White shark,"No injury to occupant, outrigger canoe and paddle damaged","R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.25-Wolfe.pdf
6302.0,2018.06.18,18-Jun-2018,Jun,2018.0,Não Provocado,usa,Georgia,"St. Simon Island, Glynn County",Standing,F,11,Não,Desconhecido,Minor injury to left thigh,"K.McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.18-McNeely.pdf
6301.0,2018.06.09,09-Jun-2018,Jun,2018.0,Desconhecido,usa,Hawaii,"Habush, Oahu",Surfing,M,48,Não,Desconhecido,Injury to left lower leg from surfboard skeg,"K.McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.09-Denges.pdf
6300.0,2018.06.08,08-Jun-2018,Jun,2018.0,Não Provocado,australia,New South Wales,Arrawarra Headland,Surfing,M,,Não,2 m shark,Minor injury to lower leg,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.08-Arrawarra.pdf
6299.0,2018.06.04,04-Jun-2018,Jun,2018.0,Provocado,mexico,Colima,La Ticla,Free diving,M,,Não,"Tiger shark, 3m",Lacerations to leg & hand shark PROVOKED INCIDENT,A .Kipper,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.04-Ramos.pdf
6298.0,2018.06.03.b,03-Jun-2018,Jun,2018.0,Não Provocado,australia,New South Wales,"Flat Rock, Ballina",Kite surfing,M,,Não,Desconhecido,"No injury, board bitten","Daily Telegraph, 6/4/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.b-FlatRock.pdf
6297.0,2018.06.03.a,03-Jun-2018,Jun,2018.0,Não Provocado,brazil,Pernambuco,"Piedade Beach, Recife",Swimming,M,18,Sim,Tiger shark,FATAL,"Diario de Pernambuco, 6/4/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.a-daSilva.pdf
6296.0,2018.05.27,27-May-2018,Mai,2018.0,Não Provocado,usa,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Não,"Lemon shark, 3'",Minor injury to foot. PROVOKED INCIDENT,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.27-Ponce.pdf
6295.0,2018.05.26.b,26-May-2018,Mai,2018.0,Não Provocado,usa,Florida,"Cocoa Beach, Brevard  County",Walking,M,15,Não,"Bull shark, 6'",Lower left leg bitten,"K.McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.b-High.pdf
6294.0,2018.05.26.a,26-May-2018,Mai,2018.0,Não Provocado,usa,Florida,"Daytona Beach, Volusia County",Standing,M,12,Não,Desconhecido,Minor injury to foot,"K. McMurray, Tracking Sharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.a-DaytonaBeach.pdf
6293.0,2018.05.24,24-May-2018,Mai,2018.0,Provocado,australia,Queensland,Cairns Aquarium,Feeding sharks,M,32,Não,Grey reef shark,Minor bite to hand by captive shark. PROVOKED INCIDENT,"ABC.net.au ,05/24/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf
6292.0,2018.05.21,21-May-2018,Mai,2018.0,Não Provocado,usa,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,10,Não,Desconhecido,Injuries to lower right leg and foot,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf
6291.0,2018.05.13.b,13-May-2018,Mai,2018.0,Não Provocado,usa,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Não,Desconhecido,Severe bite to right forearm,"C. Creswell, GSAF & K. McMurray TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf
6290.0,2018.05.13.a,13-May-2018,Mai,2018.0,Desconhecido,england,Cornwall,Off Land's End,Fishing,M,21,Não,Invalid incident,Injured by teeth of a dead porbeagle shark he was tossing overboard.,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf
6289.0,2018.05.00,May 2018,Mai,2018.0,Provocado,australia,Westerm Australia,Dugong Bay,Feeding sharks,F,34,Não,"Tawny nurse shark, 2m",Shallow lacerations to finger PROVOKED INCIDENT,"Perth Now, 6/30/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf
6288.0,2018.05.12,12-May-2018,Mai,2018.0,Não Provocado,south africa,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,,Não,Desconhecido,"Minor injury, marks on board","B.Jacob, Dispatch Live, 5/12/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf
6287.0,2018.05.09,09-May-2018,Mai,2018.0,Questionavel,australia,New South Wales,"Sharpes Beach, Ballina",Surfing,M,,Não,Shark involvement not confirmed,"No injury, surfboard damaged","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf
